Recip_County,Series_Complete_Pop_Pct
Adams County,56
Asotin County,40
Benton County,54.4
Chelan County,68.2
Clallam County,66.2
Clark County,61.9
Columbia County,45.2
Cowlitz County,56.5
Douglas County,59.5
Ferry County,54
Franklin County,49.7
Garfield County,38
Grant County,54.4
Grays Harbor County,56.6
Island County,63.6
Jefferson County,74.8
King County,78
Kitsap County,63.5
Kittitas County,52.2
Klickitat County,46.2
Lewis County,49.2
Lincoln County,51.5
Mason County,57.9
Okanogan County,65.8
Pacific County,53.9
Pend Oreille County,38.5
Pierce County,61.3
San Juan County,78.2
Skagit County,64.5
Skamania County,37.3
Snohomish County,67.4
Spokane County,58.4
Stevens County,37.9
Thurston County,63.8
Unknown County,0
Wahkiakum County,47.9
Walla Walla County,61.4
Whatcom County,69.3
Whitman County,45.1
Yakima County,59
